,index,title,stops,ratingValue,ratingCount,reviewCount,михалово,молодёжная,тракторный завод,петровщина,октябрьская,автозаводская,площадь якуба коласа,немига,спортивная,площадь франтишка богушевича,площадь ленина,ковальская слобода,вокзальная,площадь победы,юбилейная площадь,кунцевщина,пушкинская,грушевка,могилёвская,малиновка,московская,парк челюскинцев,каменная горка,фрунзенская,борисовский тракт,восток,купаловская,пролетарская,первомайская,институт культуры,академия наук,уручье,партизанская,fallback fun,hotels,bars,gasstation,hypermarket,concert hall,industrial enterprise,cafe,fast food,software,flower shop,spa,mobile phones,fitness,confectionary,supermarket,fallback services,sushi,sportcenter,currency exchange,malls,restaurants,museum,wednesday,sunday,friday,tuesday,monday,thursday,saturday,num_compet,center,youtube,instagram,twitter,ok,whatsapp,vkontakte,facebook,viber,telegram,lat,lon
10,10,Пицца Domino's Pizza,206.097,4.099999904632568,391,110,6740.146603000784,3100.376768317894,7255.657065243118,8497.179817550088,1022.6422206986791,11221.521467025641,3503.703336754205,280.1506882996565,7963.289226657037,1678.638574066747,1154.867636300308,2814.227715137539,1662.076165653877,2830.575024708743,1225.8021120027208,10966.627063847829,6233.350829509583,4609.130985845641,14325.552377625727,10081.655816942557,8609.391380234963,7258.916344373172,12590.863534114218,1155.9825656145242,13038.351072268393,11239.45165245884,1035.7067557293753,4075.58772186714,2327.6058714696287,2425.3561510954014,5323.429392362467,15424.52616888712,9274.166957810734,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12,12,12,12,12,12,12,3,1163.4761843180067,0,1,0,0,0,1,1,0,0,27.551832,53.905716
11,11,Пицца Domino's Pizza,69.8047,4.199999809265137,372,88,5777.441451384884,3875.8076053206023,7495.829044366984,7243.008866698826,2620.0771932862995,11005.050342595929,5253.883194592085,2748.030643109493,8167.294165012258,2093.1075161631497,1628.390825676496,173.5106360856464,1111.4636104375898,4449.392332838991,2768.1478298877337,10966.068741854606,6653.851768142601,3949.560358792492,14083.817611453987,8592.223991056704,9957.586635958156,8669.686738334973,12558.556904907698,2775.684089732003,14273.915206116573,12513.553416927198,2635.617704878954,4245.714720039439,2804.1547772324398,1155.759448382164,6896.411843255262,16638.530635708823,9098.833167066332,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12,12,12,12,12,12,12,0,2781.5961166614525,0,1,0,0,0,1,1,0,0,27.548714,53.878295
12,12,Пицца Domino's Pizza,172.571,4.099999904632568,60,19,11235.974414614568,8764.467809404834,2419.203012762494,12612.937682190583,4934.002972301856,5539.855163625698,4435.891690945917,5694.959245256459,13479.199629706525,6865.6781565031615,5860.771110743009,5321.052834718756,5745.790949883115,4186.321805767236,6992.80883545148,16367.96449771236,11848.143253042703,9391.812967163987,8631.111134735609,13814.741363028143,6137.586158419091,5276.596507537359,17976.056213968328,6943.7667599359675,9799.732404205814,8227.550422633229,4923.1726105696625,1987.8039792011937,3621.05484503929,6484.80920441677,4566.5318981632545,12022.87725098957,3633.703941088623,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13,13,13,13,13,13,13,0,4827.056028181481,0,0,0,0,0,0,0,0,0,27.597737,53.874856
13,13,Fabriq,108.386,4.400000095367432,162,67,6778.571067439814,3171.2871544960835,7173.92079950319,8529.678885612437,934.1297648713023,11135.617827730264,3455.7362593552716,210.85032962934775,8035.322649730375,1706.7828638566384,1125.8459280599438,2759.1977037300285,1624.2097055498705,2772.0570576433333,1293.2009695287957,11036.858924618482,6307.506616625018,4648.747921643725,14240.269080161808,10107.994303617077,8557.644927992693,7207.654962418054,12661.344102388526,1224.8123414737063,12986.097024321194,11187.432489408626,947.6126985758083,3987.378830798234,2236.3371875003263,2412.7216756444827,5274.550204149664,15372.597390784187,9187.89281370199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,12,12,12,12,14,14,6,1079.4326869665952,0,1,0,0,0,0,0,0,0,27.55246,53.905095
14,14,Cafe35,113.414,4.300000190734863,133,57,7152.955367852252,4990.712475099696,6150.382827639013,8587.467409732599,2362.74330626071,9627.265593642984,4458.80985833379,2850.8985925871666,9486.882373121762,3079.7932235302405,2229.3555381254123,1235.203614126961,1893.638684863174,3676.1237017073054,3516.404969604902,12320.57384019676,7924.917330602273,5315.428027776145,12708.670960091164,9887.461494732292,8825.927412792507,7581.9431140456845,13919.011696522066,3496.1830916251024,13069.24313426069,11331.55051017942,2369.9220273369933,2968.3263609527135,1874.2773698625538,2439.406747783666,5923.6908378239295,15417.082156944285,7720.461135678484,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,12,12,12,12,12,12,0,2443.330865439352,0,1,0,0,0,0,0,0,0,27.561079,53.87754
15,15,Umami Neobistro,184.185,4.599999904632568,57,25,6451.616263143873,2964.4304154882484,7341.767440361107,8190.305975029606,1094.2526598633008,11264.784289758481,3771.958043086013,545.421064641075,7823.056567558587,1369.1642679690397,766.5586576390612,2452.1431309090626,1278.3184273734953,3061.4465790829067,1098.129573803266,10813.512762259794,6108.856032895513,4326.199063217967,14374.087015270436,9758.217946836301,8859.176972630119,7511.213157246948,12438.592841410893,1040.4356073531108,13284.907131932363,11487.3174094301,1111.5423872956958,4102.314789343268,2317.832372025396,2040.6400915582985,5585.878133161299,15671.948536877446,9314.639157508283,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,17,1273.04252971088,0,1,0,0,0,0,0,0,0,27.550396,53.902119
16,16,News Cafe,333.958,4.400000095367432,185,64,7555.799024368554,4243.171927142062,6061.542453700073,9236.72754134806,240.08494996863092,9992.68113985304,2774.3551026637056,994.4638462503455,9096.793459998256,2530.829458142914,1585.2420407230006,2568.2972724031956,1846.8802217746304,1989.3683582495216,2377.2441246124245,12080.647701083957,7387.323312120417,5460.231093453035,13100.345644386603,10743.289958797162,7744.716243459247,6409.414517130855,13705.582003571768,2317.3864339218553,12151.935001522248,10360.5506684625,234.2372141464846,2835.1761672207963,1081.0881931658218,2803.0143255633348,4527.8562338546835,14537.46344540616,8043.341170407075,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,16,16,16,16,14,5,255.44739301358405,0,1,0,0,0,0,1,0,0,27.561696,53.8997
17,17,Ресторан 101,160.203,4.400000095367432,176,83,6419.246038332818,2987.0864831660183,7316.796943488934,8149.960836654548,1085.5072349930329,11227.427099074943,3804.792487306282,608.4948418812503,7839.470179199701,1337.4957844857206,670.9277326179399,2347.110625561382,1178.0075052157217,3083.3197169136465,1136.1584208107993,10825.31161607154,6130.632718962541,4297.414056310296,14337.614796915754,9710.478888774649,8882.646793001331,7535.955396277771,12450.348600209283,1082.906698185341,13306.494909524872,11509.596621820343,1103.5605242238214,4064.4889833888965,2275.288656279317,1958.5946835390903,5615.019997717328,15693.59015954672,9277.017951481355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,12,12,12,14,14,14,13,1271.1873829166004,0,1,0,0,0,0,1,0,0,27.550464,53.901053
18,18,The Odi,152.712,4.699999809265137,202,102,6549.263728409788,3333.312535636785,6995.298704962686,8239.596187753954,914.0066670731902,10863.1144489089,3729.881059473166,823.7171978847339,8152.789414370614,1535.0722631209176,583.0169366401974,1994.651021750714,951.3106801347525,2966.920590076414,1542.483388162895,11120.534673508488,6463.439234299858,4452.094410012631,13974.829470444423,9762.1015898606,8746.370195143572,7407.7676141007005,12744.430790947914,1498.78653185383,13157.461675203036,11364.978008193388,933.3800366226036,3708.4059075474406,1916.5367057457686,1864.0049518304097,5512.223123297441,15543.39901857488,8913.00730749167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,10,10,10,10,11,11,8,1111.7786448316592,0,1,0,0,0,0,0,0,0,27.552911,53.897217
19,19,Кофейня № 26,141.988,4.5,288,100,6696.381181656515,3745.618046296581,6677.323123275588,8331.67177963642,1035.7589348664064,10477.891590449806,3761.8242313591695,1284.3730577675433,8504.992312906967,1858.9473597488677,843.9816025511104,1615.880823588055,900.1491851304896,2967.2870336761657,2036.45053695204,11446.045144155867,6842.874890263985,4644.9924304125,13588.935358883826,9804.57001642738,8661.77042751418,7338.665194970952,13066.580763077107,2000.9437542681083,13047.010383709221,11263.10946311814,1051.6600696595497,3361.730583962031,1609.9118771930155,1852.885685331921,5486.807731115734,15428.461190774076,8530.956249147393,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,15,15,15,15,15,14,0,1203.4336636356427,0,1,0,0,0,0,0,0,0,27.555435,53.892453
