,index,title,stops,ratingValue,ratingCount,reviewCount,могилёвская,первомайская,площадь победы,площадь якуба коласа,грушевка,восток,автозаводская,московская,партизанская,спортивная,пушкинская,немига,петровщина,михалово,борисовский тракт,малиновка,каменная горка,вокзальная,институт культуры,академия наук,тракторный завод,парк челюскинцев,юбилейная площадь,фрунзенская,молодёжная,площадь ленина,октябрьская,площадь франтишка богушевича,уручье,кунцевщина,купаловская,пролетарская,ковальская слобода,concert hall,sportcenter,fallback services,fast food,cafe,supermarket,bars,hotels,sushi,gasstation,spa,museum,currency exchange,mobile phones,malls,confectionary,restaurants,fallback fun,industrial enterprise,fitness,software,flower shop,hypermarket,wednesday,sunday,friday,tuesday,monday,thursday,saturday,num_compet,center,instagram,facebook,viber,ok,twitter,youtube,telegram,whatsapp,vkontakte,lat,lon
15,15,Umami Neobistro,184.185,4.599999904632568,57,25,14374.087015270436,2317.832372025396,3061.4465790829067,3771.958043086013,4326.199063217967,11487.3174094301,11264.784289758481,8859.176972630119,9314.639157508283,7823.056567558587,6108.856032895513,545.421064641075,8190.305975029606,6451.616263143873,13284.907131932363,9758.217946836301,12438.592841410893,1278.3184273734953,2040.6400915582985,5585.878133161299,7341.767440361107,7511.213157246948,1098.129573803266,1040.4356073531108,2964.4304154882484,766.5586576390612,1094.2526598633008,1369.1642679690397,15671.948536877446,10813.512762259794,1111.5423872956958,4102.314789343268,2452.1431309090626,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,17,1273.04252971088,1,0,0,0,0,0,0,0,0,27.550396,53.902119
16,16,News Cafe,333.958,4.400000095367432,185,64,13100.345644386603,1081.0881931658218,1989.3683582495216,2774.3551026637056,5460.231093453035,10360.5506684625,9992.68113985304,7744.716243459247,8043.341170407075,9096.793459998256,7387.323312120417,994.4638462503455,9236.72754134806,7555.799024368554,12151.935001522248,10743.289958797162,13705.582003571768,1846.8802217746304,2803.0143255633348,4527.8562338546835,6061.542453700073,6409.414517130855,2377.2441246124245,2317.3864339218553,4243.171927142062,1585.2420407230006,240.08494996863092,2530.829458142914,14537.46344540616,12080.647701083957,234.2372141464846,2835.1761672207963,2568.2972724031956,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,16,16,16,16,14,5,255.44739301358405,1,1,0,0,0,0,0,0,0,27.561696,53.8997
17,17,Ресторан 101,160.203,4.400000095367432,176,83,14337.614796915754,2275.288656279317,3083.3197169136465,3804.792487306282,4297.414056310296,11509.596621820343,11227.427099074943,8882.646793001331,9277.017951481355,7839.470179199701,6130.632718962541,608.4948418812503,8149.960836654548,6419.246038332818,13306.494909524872,9710.478888774649,12450.348600209283,1178.0075052157217,1958.5946835390903,5615.019997717328,7316.796943488934,7535.955396277771,1136.1584208107993,1082.906698185341,2987.0864831660183,670.9277326179399,1085.5072349930329,1337.4957844857206,15693.59015954672,10825.31161607154,1103.5605242238214,4064.4889833888965,2347.110625561382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,12,12,12,14,14,14,13,1271.1873829166004,1,1,0,0,0,0,0,0,0,27.550464,53.901053
18,18,The Odi,152.712,4.699999809265137,202,102,13974.829470444423,1916.5367057457686,2966.920590076414,3729.881059473166,4452.094410012631,11364.978008193388,10863.1144489089,8746.370195143572,8913.00730749167,8152.789414370614,6463.439234299858,823.7171978847339,8239.596187753954,6549.263728409788,13157.461675203036,9762.1015898606,12744.430790947914,951.3106801347525,1864.0049518304097,5512.223123297441,6995.298704962686,7407.7676141007005,1542.483388162895,1498.78653185383,3333.312535636785,583.0169366401974,914.0066670731902,1535.0722631209176,15543.39901857488,11120.534673508488,933.3800366226036,3708.4059075474406,1994.651021750714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12,10,10,10,10,11,11,8,1111.7786448316592,1,0,0,0,0,0,0,0,0,27.552911,53.897217
19,19,Кофейня № 26,141.988,4.5,288,100,13588.935358883826,1609.9118771930155,2967.2870336761657,3761.8242313591695,4644.9924304125,11263.10946311814,10477.891590449806,8661.77042751418,8530.956249147393,8504.992312906967,6842.874890263985,1284.3730577675433,8331.67177963642,6696.381181656515,13047.010383709221,9804.57001642738,13066.580763077107,900.1491851304896,1852.885685331921,5486.807731115734,6677.323123275588,7338.665194970952,2036.45053695204,2000.9437542681083,3745.618046296581,843.9816025511104,1035.7589348664064,1858.9473597488677,15428.461190774076,11446.045144155867,1051.6600696595497,3361.730583962031,1615.880823588055,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,15,15,15,15,15,14,0,1203.4336636356427,1,0,0,0,0,0,0,0,0,27.555435,53.892453
20,20,32.08 Вечное Лето,176.302,4.400000095367432,106,46,13460.84045764727,2212.115094094656,1603.0529481003778,2094.160152046995,6134.542742545074,9809.832242249431,10397.597033338556,7183.9143058480395,8482.893802958739,9241.512242004977,7493.723601743657,1353.1563505789834,10036.285108757196,8266.314867764977,11607.895339955823,11628.660470332863,13873.839718403675,3030.1592164960457,3904.4619620116664,3891.5745085464323,6337.788192461269,5834.679840027605,2669.818717437881,2595.3980514818704,4447.7061971781595,2591.1942542628904,1361.3724241783102,3226.467688579338,13988.892627543675,12257.191098924022,1349.5799746564628,3526.709105544218,3987.1671896252706,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,13,13,13,13,13,13,3,1248.972769635318,1,1,0,0,0,0,0,0,0,27.563145,53.914853
21,21,Кафе Golden Coffee,114.953,4.300000190734863,645,207,13450.122029209291,2301.932933098432,1582.1095958051624,2028.7496075277763,6242.261209090517,9727.29235599075,10393.114678260952,7103.402632836791,8483.77744418854,9311.8026850307,7563.468945436776,1477.9054019651348,10147.221257995076,8373.635828403256,11524.673508381005,11743.344609995549,13942.626774809592,3160.231732870405,4032.1391433836125,3813.7129523619396,6328.597937025401,5755.501783226983,2770.906700177161,2696.443741467936,4532.123404110726,2719.2813576606973,1488.5137435581944,3342.7341692739155,13904.249443989567,12327.43747149568,1476.3821720161254,3566.981983846791,4117.144453487128,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,20,20,20,20,22,20,3,1371.5923617353985,1,1,0,0,0,0,0,0,0,27.563699,53.916022
22,22,Кофевариум. кофе&эмоции,111.263,4.5,206,112,14886.107642984854,2834.9165988014483,3775.5091669134454,4499.867178184659,3603.9279114622063,12200.763224236416,11774.25764230737,9574.730342063069,9824.744786517413,7233.393251161253,5547.152586314846,1279.5015743950958,7456.247226602929,5724.36535042472,13997.087575116604,9022.540365806346,11825.955161500806,934.786828667771,1412.4281543793095,6309.659785498288,7914.806247346335,8228.841807631863,778.882491189422,769.413615735596,2426.5842907425795,517.6226784383272,1753.0221269645576,644.9358473684579,16384.14342649903,10201.844635931511,1771.8864454542327,4625.171499478678,2158.379677693292,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,11,11,11,11,11,11,8,1945.7287743647569,1,1,0,0,0,1,0,0,0,27.544709,53.898321
23,23,Золотой гребешок,166.449,4.599999904632568,305,125,13622.59442251758,1608.8912078268906,2312.955257496095,3055.3737295290744,5068.186279485879,10735.365246766383,10516.191597106565,8110.411927862037,8567.501582333676,8605.717631888956,6888.0178123612795,474.85827607735405,8896.943017235468,7183.207580538667,12531.25011358185,10436.661983366457,13222.933113060923,1645.0278030278778,2562.254511973578,4853.951014190462,6570.205300441453,6765.963480660893,1868.3834768655602,1805.6300969448312,3744.2282470990976,1263.8985025535997,314.25333860825623,2111.4068604582653,14918.252094002359,11597.862836819068,330.20353480359785,3362.4981918248372,2588.3023078514425,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,14,15,15,15,15,15,14,8,488.41410968923196,1,1,0,0,0,0,0,0,0,27.557446,53.902117
24,24,Раковский Бровар,294.33,4.800000190734863,836,384,14645.963896375217,2603.1529983037913,3225.827851948036,3904.6224699896584,4209.14341731498,11639.203595283177,11538.304052875024,9009.24261648418,9588.862296827589,7591.247320239366,5867.628012970081,664.6819054563117,8101.010728633032,6340.5189126751075,13438.005278236948,9690.921548992215,12214.659406141978,1466.6855048432728,2123.6162612935823,5724.196862138073,7596.787305926713,7658.951847896093,846.9605947039399,781.4568586657691,2726.851011920054,944.9259371828342,1341.029214651695,1290.788353407239,15824.33595921629,10589.91018751812,1356.7552868704163,4379.065527150309,2677.3884149730898,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,12,12,12,13,13,13,4,1504.8769508284495,1,1,0,0,0,0,0,0,0,27.548437,53.904349
