,title,name
180,Васильки,restoran.vasilki
181,KFC,kfcbyofficial
182,33 Пингвина,33pingvina_belarus
183,Пицца Темпо,pizzatempo
184,Мiа фамiлiа,mia_familia_cafe
185,Sushi Sun,sushisun.by
186,Зефир,bufet_35
187,KFC,kfcbyofficial
188,Chef Grill,chef.gril
189,Джангл Лаунж,jungle_lounge
190,Неаполь,cafe_neapol
191,Додо Пицца,dodopizza.minsk
192,Puzzle Pizza,puzzlepizza.by
193,Burger King,burgerkingbelarus
194,Кофе поинт Lavazza от СИБА-Кафе,lavazza.point
195,Хмельная застава,cafe_zastava
196,Пицца Темпо,pizzatempo
197,Hotfix coffee,hotfixcafe
198,Просуши,prosushi.by
199,Varka coffee,varkacoffee.minsk
200,Варка Кофе,varkacoffee.minsk
201,Луна,coffee.luna
202,Wanted Coffee,coffeewanted.by
203,Море суши,moresushi_minsk
204,Джинджер,gingerclub.minsk
205,Мышкин двор,myshkin_dvor
206,Журавли,zhuravli_kafe
207,Hotfix coffee,hotfixcafe
208,BarriCoffee,barri_coffee
209,KFC,kfcbyofficial
210,Hotfix coffee,hotfixcafe
211,KFC,kfcbyofficial
212,Васильки,restoran.vasilki
213,Billie Jean,billiejean.bar
214,Время есть,vremjaest
215,Суши Весла take away,sushivesla
216,Цiмохiн двор,timohin_dvor
217,Terra Pizza,terrapizza
218,Тантуни Донер,tantuni.doner
219,Lotus Bubble Green City,lotus_bubble
220,МС Донер,mcdoner.by
221,Golden Coffee,golden_coffee_bakery
222,Terra Pizza,terrapizza
223,Cofix,cofix_belarus
224,Хинкальня,hinkalnyaminsk
225,KFC,kfcbyofficial
226,Gan Bei,ganbei_by
227,Пицца Domino's Pizza,dominosby
228,Станция,Coffee_metro_minsk
229,KFC,kfcbyofficial
230,Хинкальная,hinkali_minsk
231,Sushi Chef Arts,sushichefarts_minsk
232,Garage food&coffee,cafegarageby
233,Кафе Восток,kafe_vostok_minsk
234,Перспектива кофе,perspectiva.coffee
235,Кофе профиль,coffeeprofil
236,Doner King,donerking.by
237,Sushi master,sushimaster.minsk
